Customer ID,Customer Name,Age Group,Gender,Region,Product Category,Sales Amount,Profit,Purchase Date,Discount (%),Payment Method,Customer Loyalty Level,Customer Satisfaction Score
74,Bryan Meyers,18-25,Female,Australia,Furniture,3919.28,1253.75,11-10-2024,5.91,Bank Transfer,Bronze,2.2
75,Natasha Smith,18-25,Female,North America,Toys,568.81,602,28-08-2024,24.65,Digital Wallet,Bronze,4.8
76,James Williamson,60+,Female,Asia,Sports,2738.48,3.7,06-08-2024,8.15,Digital Wallet,Platinum,3.4
77,Andrew Henson,26-35,Female,Asia,Books,2787.26,950.13,22-09-2024,11.07,Bank Transfer,Bronze,2.3
78,Kevin Nguyen,60+,Female,North America,Electronics,733.17,712.47,02-04-2024,17.11,Cash,Gold,2.1
79,Mercedes Williams,26-35,Female,Africa,Electronics,4487.27,1135.36,13-08-2024,11,Cash,Bronze,2
80,Joseph Jordan,60+,Male,Asia,Books,523.84,1395.79,03-07-2024,23.45,Bank Transfer,Silver,1.6
81,Linda Gilmore,60+,Other,North America,Electronics,4906.03,1181.1,08-11-2024,0.26,Credit Card,Platinum,3.9
82,Kristin Jackson,46-60,Female,Europe,Sports,2207.03,1078.49,31-07-2024,20.98,Bank Transfer,Platinum,2.3
83,Eric Ponce,60+,Other,Africa,Toys,2481.34,1205.68,23-03-2024,6.42,Cash,Gold,3.6
84,Jacob Grimes,46-60,Male,Australia,Furniture,2473.44,735.8,22-03-2024,25.21,Digital Wallet,Silver,4.8
85,Alexandra Brady,46-60,Other,Europe,Electronics,137.54,185.69,10-06-2024,16.12,Credit Card,Bronze,3.8
86,Susan Byrd,46-60,Female,North America,Toys,3873.01,1037.28,18-04-2024,4.81,Credit Card,Platinum,1.7
87,Daniel Miller,60+,Male,Asia,Books,1786.18,418.89,02-05-2024,29.07,Cash,Platinum,3.5
88,Richard Silva,18-25,Female,Africa,Sports,3950.99,796.89,17-10-2024,8.86,Bank Transfer,Gold,1.9
89,Jill Ross,26-35,Female,Asia,Books,2222.82,1182.78,05-12-2024,19.62,Bank Transfer,Silver,1.9
90,Carla Wallace,26-35,Female,North America,Groceries,3523.99,452.99,19-07-2024,6.51,Bank Transfer,Silver,2.5
91,John Booker,60+,Female,Africa,Sports,2281.56,1352.96,14-01-2024,21.26,Credit Card,Platinum,3.4
92,Lisa Doyle,46-60,Female,Africa,Toys,1945.64,447.36,19-03-2024,22.25,Debit Card,Silver,4.2
93,Jeremiah Huff,18-25,Female,Asia,Clothing,1765.71,558.97,15-08-2024,18.57,Cash,Platinum,4.1
94,Heather Horton,60+,Other,Asia,Furniture,3356.1,234.44,08-12-2024,19.81,Debit Card,Gold,1.2
95,Sarah Watkins,46-60,Male,Africa,Clothing,3360.51,1269.17,09-08-2024,27.61,Debit Card,Bronze,4.6
96,Jonathan Gardner,36-45,Other,Africa,Groceries,2801.49,157.3,30-06-2024,4.36,Cash,Gold,4
97,Eric Lawrence,36-45,Female,Asia,Toys,1766.88,784.79,10-02-2024,11.79,Bank Transfer,Bronze,4.7
98,Roy Crawford,60+,Male,North America,Electronics,4280.44,846.23,09-12-2024,24.57,Cash,Silver,2.1
99,Nicole Lewis,18-25,Male,Australia,Groceries,226.54,575.39,11-02-2024,21.59,Bank Transfer,Silver,1.3
100,Scott Rowe,18-25,Other,Australia,Toys,3902.77,615.19,08-03-2024,15.61,Debit Card,Silver,1.1
101,Sean Lopez,46-60,Female,Africa,Furniture,1251.55,332.53,30-10-2024,1.26,Bank Transfer,Bronze,1.7
102,Stephanie Lopez DVM,26-35,Female,Australia,Clothing,4674.46,743.86,19-03-2024,21.24,Digital Wallet,Platinum,4.4
103,Mrs. Kristy Rojas,18-25,Female,Asia,Toys,3962.77,1175.09,01-04-2024,16.49,Credit Card,Silver,4.8
104,Michael Montgomery,18-25,Other,Europe,Furniture,504.02,327.87,18-04-2024,15.88,Digital Wallet,Silver,3.7
105,Anna Hall,60+,Male,North America,Sports,277.95,722.93,26-01-2024,8.65,Cash,Platinum,4.2
106,Sarah White,46-60,Female,Africa,Electronics,4810.04,843.4,07-12-2024,19.04,Credit Card,Silver,2.4
107,Dr. Justin Hartman,60+,Other,Africa,Groceries,4973.5,520.82,18-05-2024,15.48,Credit Card,Platinum,2.6
108,Michael Walter,18-25,Other,Europe,Groceries,2653.25,482.82,12-04-2024,19.08,Cash,Platinum,2
109,Mark Cole,46-60,Male,Australia,Electronics,341.44,1382.45,05-12-2024,2.08,Debit Card,Gold,4.3
110,Anita Joyce,60+,Other,Europe,Groceries,4043.04,361.56,25-09-2024,27.39,Cash,Platinum,2.5
111,Thomas Olson,46-60,Female,North America,Books,3493.95,853.99,07-01-2024,28.5,Digital Wallet,Platinum,2.8
112,Catherine Taylor,18-25,Female,Europe,Toys,1929.53,543.13,09-09-2024,8.13,Credit Card,Bronze,1.1
113,Mark Shields,36-45,Female,Europe,Groceries,4698.93,221.95,26-05-2024,20.25,Bank Transfer,Bronze,1
114,Aaron Smith,60+,Other,Asia,Clothing,4011.01,342.81,30-08-2024,11.24,Bank Transfer,Gold,2.6
115,Cindy Pierce,18-25,Female,Australia,Groceries,311.78,1393.69,06-12-2024,1.38,Debit Card,Gold,4.7
116,Clarence Wang,26-35,Female,Australia,Sports,2734.47,1448.68,05-09-2024,29.78,Bank Transfer,Silver,2.6
117,Caleb Mendez,60+,Male,Europe,Toys,2525.49,1418.82,21-11-2024,7.5,Cash,Bronze,3.6
118,Brandi Espinoza,46-60,Other,North America,Sports,797.38,309.35,19-05-2024,19.43,Digital Wallet,Gold,1.6
119,Linda Barnes,46-60,Other,Africa,Toys,3898.35,1005.96,09-02-2024,16.12,Bank Transfer,Gold,2.9
120,Joseph Burton,18-25,Other,Africa,Electronics,3014.15,417.71,16-01-2024,7.48,Bank Transfer,Platinum,3.7
121,Ashley Castaneda,36-45,Male,Australia,Sports,4629.7,812.77,10-10-2024,16.07,Digital Wallet,Gold,4.8
122,Sharon Christian,60+,Female,Asia,Sports,4231.39,566.53,15-01-2024,4.86,Debit Card,Bronze,1.6
123,Suzanne Vargas,46-60,Other,North America,Sports,4958.66,519.22,07-02-2024,14.9,Cash,Bronze,3.9
124,Lucas Bryant,60+,Male,Africa,Toys,1599.98,188.08,04-08-2024,9.23,Bank Transfer,Silver,1.3
125,Brian Williams,18-25,Male,Asia,Furniture,4005.59,559.69,01-08-2024,17.29,Bank Transfer,Gold,4.6
126,Matthew Williams,60+,Female,North America,Sports,4738.03,185.44,13-06-2024,14.94,Bank Transfer,Platinum,2.1
127,Ernest Johnson,46-60,Male,Africa,Clothing,702.08,1111.09,04-04-2024,11.18,Cash,Gold,4.4
128,Zachary Wilson,26-35,Male,Europe,Groceries,3134.51,1002.97,27-04-2024,12.84,Bank Transfer,Silver,1.4
129,William Morgan,60+,Male,Africa,Clothing,3632.32,104.84,01-03-2024,26.09,Bank Transfer,Silver,2.1
130,Jonathan Atkinson,36-45,Male,Europe,Toys,1981.34,960.54,14-09-2024,19.48,Bank Transfer,Platinum,1.7
131,Robert Hall,18-25,Other,Europe,Books,1189.41,726.9,03-07-2024,25.23,Cash,Gold,1.6
132,Jeffery Leblanc,36-45,Male,North America,Electronics,4584.62,307.98,07-10-2024,28.09,Digital Wallet,Platinum,2
133,Susan Mcclain,26-35,Female,Africa,Furniture,2598.82,288.34,08-05-2024,9.76,Cash,Bronze,2.9
134,Craig Mcfarland,60+,Female,Europe,Books,4864.03,1421.05,06-11-2024,24.69,Digital Wallet,Platinum,4.3
135,Reginald Young,36-45,Male,Africa,Books,4738.79,1065.37,24-01-2024,22.83,Credit Card,Gold,4.2
136,Sarah Ward,36-45,Female,Asia,Clothing,3274.36,780.36,05-12-2024,5.59,Bank Transfer,Platinum,2.1
137,Sarah Hanson,36-45,Other,Asia,Books,75.8,1119.68,30-11-2024,6.03,Cash,Silver,2.4
138,Ashley Robertson,46-60,Other,Europe,Clothing,252.34,558.92,14-05-2024,29.45,Debit Card,Bronze,1.3
139,Lori Mooney,18-25,Male,North America,Clothing,1802.43,590.87,07-09-2024,19.61,Cash,Platinum,2.2
140,Michael Maxwell,46-60,Other,Asia,Books,4457.84,583.11,08-08-2024,15.96,Credit Card,Platinum,2.4
141,Lauren Burke,60+,Male,Australia,Furniture,4953.14,210.27,13-09-2024,11.95,Digital Wallet,Platinum,4.7
142,Joseph Hanson,36-45,Other,North America,Sports,2878.06,1361.79,21-05-2024,16.66,Debit Card,Gold,4
143,Steven Morgan,60+,Other,Europe,Electronics,327.26,1343.99,02-11-2024,18.51,Debit Card,Silver,2.4
144,Wesley Campbell,26-35,Other,Australia,Electronics,1533.68,856.9,22-03-2024,1.68,Debit Card,Silver,4.5
145,Ryan Ray,18-25,Female,Asia,Books,4037.11,940.75,10-07-2024,0.77,Bank Transfer,Gold,2.1
146,Robert Cabrera,26-35,Other,North America,Sports,3399.49,158.66,15-09-2024,16.06,Digital Wallet,Bronze,2.1
147,Michael Rivera,36-45,Male,North America,Clothing,4718.44,33.45,06-01-2024,24.67,Bank Transfer,Platinum,1.1
148,Rebekah Leach,46-60,Other,Australia,Books,4423.46,580.66,17-10-2024,19.79,Debit Card,Bronze,4.2
149,Kenneth Davis,46-60,Other,Africa,Groceries,4818.57,1289.59,26-06-2024,3.02,Cash,Platinum,4.3
150,Michael Dixon,36-45,Other,Europe,Toys,4149.17,789.17,27-06-2024,18.33,Debit Card,Gold,3.1
151,Donna Miller,36-45,Other,Asia,Groceries,2723.89,1099.94,21-10-2024,29.1,Bank Transfer,Platinum,2.4
152,Alfred Hayes,60+,Other,Asia,Electronics,2939.73,667.58,12-02-2024,14.65,Cash,Bronze,1.9
153,Craig Davis,26-35,Female,Africa,Furniture,1819.08,586.71,10-07-2024,18.39,Credit Card,Silver,4.8
154,Stephanie Chambers,60+,Male,North America,Toys,1288.52,959.06,25-08-2024,9.19,Cash,Platinum,3
155,Christopher Martinez,60+,Other,Europe,Sports,4791.37,1104.62,09-05-2024,22.24,Credit Card,Bronze,4.6
156,Edward Blake,46-60,Female,North America,Sports,831.08,255.47,14-06-2024,10.68,Credit Card,Platinum,1.6
157,Edwin Noble,60+,Male,Africa,Furniture,3190.28,681.95,11-01-2024,25.27,Credit Card,Gold,2.2
158,James Watts,46-60,Other,Europe,Electronics,3132.38,649.04,21-04-2024,27.93,Credit Card,Platinum,1.7
159,Jose Smith,26-35,Male,Asia,Toys,4213.78,1425.17,28-06-2024,2.41,Cash,Bronze,4.7
160,Christine Horton,36-45,Other,Australia,Furniture,2867.84,939.6,10-09-2024,5.55,Digital Wallet,Bronze,4
161,John Morales,26-35,Female,Australia,Books,4236.75,649.58,06-08-2024,7.46,Bank Transfer,Silver,1.4
162,Scott Green,60+,Female,Australia,Toys,2666.38,972.65,07-12-2024,16.87,Bank Transfer,Gold,2.2
163,Amanda Franco,26-35,Female,Africa,Sports,242.66,1079.91,08-10-2024,1.55,Credit Card,Gold,4.5
164,Gregory Rivera,18-25,Female,Australia,Furniture,4050.02,556.62,05-02-2024,1.97,Debit Card,Bronze,2.6
165,Lawrence Patterson,18-25,Other,Africa,Furniture,2524.59,894.12,20-11-2024,8.6,Cash,Silver,3.9
166,Micheal Tanner,18-25,Other,Europe,Books,163.85,1075.97,23-10-2024,6.98,Cash,Bronze,1.4
167,Angela Carter,46-60,Male,Asia,Toys,3777.96,260.18,27-05-2024,24.82,Credit Card,Gold,4.9
168,Chloe White,18-25,Male,Africa,Furniture,3183.28,370.38,28-05-2024,14.31,Cash,Silver,1.2
169,Robert Phillips,36-45,Female,Australia,Toys,1293.21,206.73,20-08-2024,21.94,Cash,Bronze,4.8
170,Wesley Jackson,26-35,Female,Europe,Sports,1597.62,861.15,15-03-2024,22.91,Cash,Bronze,2.1
171,Dawn Lawrence,36-45,Female,Australia,Electronics,678.08,1383.76,06-09-2024,22.12,Digital Wallet,Silver,4.4
172,Jill Anderson,60+,Other,Australia,Clothing,1918.74,159.75,13-08-2024,25.88,Debit Card,Bronze,3.7
173,Timothy Reid,26-35,Female,Australia,Sports,2164.25,626.8,30-06-2024,26.78,Credit Card,Gold,3.4
174,Jeffrey Gallagher,36-45,Female,Europe,Books,620.54,845.77,23-08-2024,6.25,Bank Transfer,Bronze,4.9
175,Sheila Shaffer,18-25,Female,Europe,Books,4142.9,818.34,11-08-2024,24.06,Cash,Bronze,1.7
176,Jeffrey Anderson,36-45,Male,Africa,Books,4758.82,990.39,05-05-2024,14.84,Digital Wallet,Bronze,4.7
177,Candice Taylor,46-60,Male,Asia,Electronics,1034.27,1145.56,17-05-2024,21.17,Cash,Silver,4.4
178,Ray Leon,36-45,Male,Africa,Clothing,2018.11,1389.71,24-10-2024,27.99,Bank Transfer,Bronze,2.1
179,Cameron King,36-45,Female,Europe,Clothing,150.96,1272.2,21-03-2024,2.79,Credit Card,Gold,3.7
180,Jennifer Bradley,18-25,Male,Asia,Clothing,3099.53,904.66,13-09-2024,29.55,Credit Card,Platinum,1.6
181,Michele Edwards,26-35,Other,Africa,Electronics,483.84,399.15,18-10-2024,0.73,Credit Card,Bronze,3.6
182,David Bennett,60+,Female,Africa,Sports,727.95,1361.4,05-06-2024,16.87,Bank Transfer,Silver,1.4
183,Laura Davis,36-45,Male,Africa,Furniture,3333.96,1096.17,01-06-2024,9.23,Bank Transfer,Platinum,3.1
184,David Howard,36-45,Female,Australia,Electronics,3356.86,675.03,11-06-2024,19.94,Digital Wallet,Bronze,1.3
185,Valerie Meyer,26-35,Other,North America,Sports,4909.56,886.19,31-05-2024,4.33,Bank Transfer,Platinum,4
186,Lindsey Turner,26-35,Male,Australia,Sports,4503.17,815.13,08-10-2024,27.48,Digital Wallet,Silver,3
187,Nathaniel Mullins,26-35,Female,Africa,Books,4021.53,85.52,29-06-2024,4.45,Digital Wallet,Bronze,4.3
188,Katherine Hawkins,36-45,Male,Asia,Furniture,1175.33,1065.12,06-11-2024,22.93,Credit Card,Bronze,4.8
189,Jonathan Garcia,60+,Other,North America,Clothing,3639.44,126.85,26-05-2024,5.67,Digital Wallet,Gold,3
190,Misty Chapman,36-45,Male,North America,Furniture,3413.13,181.16,03-08-2024,8.01,Debit Card,Gold,3.3
191,Francis Walker,60+,Male,Australia,Sports,751.1,1075.38,26-08-2024,23.3,Cash,Platinum,3.2
192,Sarah Hughes,18-25,Female,Europe,Clothing,3660.04,737.87,14-12-2024,25.07,Cash,Gold,4.9
193,Victor Perry,46-60,Other,Europe,Clothing,3477.79,921.69,01-08-2024,14.17,Credit Card,Gold,4.3
194,Patricia Francis,26-35,Male,Australia,Groceries,2738.03,206.79,29-03-2024,8.84,Bank Transfer,Platinum,3.1
195,Charles Chandler,46-60,Female,Europe,Sports,168.34,630.98,16-11-2024,27.15,Cash,Platinum,1.1
196,Amber Little,46-60,Other,Australia,Furniture,3266.2,124.45,01-11-2024,25.04,Digital Wallet,Gold,4
197,Michaela Miller,60+,Female,Europe,Sports,657.21,1190.38,20-11-2024,0.39,Digital Wallet,Bronze,3.3
198,Rebecca Lewis,26-35,Other,Australia,Toys,1821.3,1192.77,06-02-2024,28.66,Credit Card,Silver,3.8
199,Daniel Smith,18-25,Female,Australia,Electronics,1253.19,785.98,15-05-2024,28.74,Debit Card,Platinum,2.4
200,Victor Ho,46-60,Male,North America,Sports,134.56,986.68,01-11-2024,6.46,Digital Wallet,Gold,2.4
201,Michael Sharp,46-60,Female,North America,Furniture,3125.68,257.55,09-06-2024,22.88,Cash,Bronze,1.6
202,Joseph Meyers,36-45,Female,Australia,Groceries,414.71,1331.73,07-04-2024,1.84,Bank Transfer,Gold,1.4
203,James Atkinson,18-25,Male,North America,Clothing,3070.57,244.33,29-04-2024,20.44,Bank Transfer,Silver,2.9
204,Jeffery Kelley,46-60,Other,Europe,Toys,762.17,447.24,05-07-2024,15.1,Credit Card,Silver,2.5
205,Cynthia Garcia,26-35,Female,Africa,Books,4808.79,306.58,20-09-2024,29.32,Cash,Platinum,4.7
206,Katie Bennett,36-45,Male,Europe,Books,4446.33,376.29,15-10-2024,14.74,Digital Wallet,Bronze,2.3
207,Tara Williams,36-45,Female,Asia,Groceries,1424.04,969.3,06-03-2024,1.81,Digital Wallet,Platinum,4.1
208,Christopher Stevens,36-45,Other,Asia,Books,1395.33,1116.04,24-11-2024,3.95,Credit Card,Gold,3.9
209,Ronald Hart,36-45,Female,Asia,Furniture,2266.14,1445.99,13-09-2024,22.76,Credit Card,Platinum,2.3
210,Taylor Marks,60+,Female,Europe,Sports,4017.28,1047.63,24-11-2024,7.17,Debit Card,Gold,4.4
211,Donna Chang,18-25,Other,North America,Sports,2599.24,1436.78,08-06-2024,13.22,Credit Card,Gold,3.1
212,Oscar David,26-35,Other,Africa,Groceries,3137.66,1393.08,25-11-2024,4.48,Debit Card,Gold,1.6
213,Alicia Green,18-25,Female,North America,Groceries,1656.5,1155.56,06-08-2024,7.01,Debit Card,Bronze,2.8
214,Mark Chambers,18-25,Other,Asia,Books,100.76,1238.97,17-09-2024,14.56,Credit Card,Bronze,1.4
215,Adrienne Dorsey,46-60,Female,Africa,Electronics,312.41,1272.81,20-11-2024,14.96,Debit Card,Bronze,2.2
216,Julian Pacheco,26-35,Female,Asia,Clothing,3042.68,1095.55,16-06-2024,24.07,Credit Card,Silver,1.2
217,Deborah Smith,46-60,Other,Africa,Clothing,2137.12,176.72,03-10-2024,17.54,Credit Card,Platinum,2.3
218,Christina Rodriguez,18-25,Female,Africa,Sports,3506.15,1176.38,13-07-2024,26.52,Bank Transfer,Silver,4.9
219,Samuel Hill,60+,Male,Australia,Electronics,1575.58,851.43,21-07-2024,21.09,Debit Card,Gold,2.8
220,Kathleen Benson,18-25,Male,Asia,Books,3524.4,1067.22,19-05-2024,8.56,Bank Transfer,Silver,2.1
221,Jack Coleman,46-60,Other,Europe,Groceries,1742.64,1482.93,06-03-2024,9.57,Debit Card,Platinum,3
222,Erica Michael,18-25,Male,Europe,Clothing,2358.15,272.64,17-08-2024,3.17,Digital Wallet,Bronze,2.9
223,Vickie Robertson,26-35,Male,Africa,Sports,760.21,925.59,14-06-2024,24.43,Bank Transfer,Platinum,4.2
224,Troy Franco,18-25,Female,Africa,Sports,4282.74,916.91,04-11-2024,8.12,Bank Transfer,Platinum,4.5
225,Mike Reyes,18-25,Female,Asia,Clothing,3222.3,84.4,13-11-2024,27.91,Cash,Gold,3.6
226,Leslie Avila,36-45,Male,Australia,Clothing,1986.51,1000.24,09-09-2024,5.79,Debit Card,Platinum,3.9
227,Mrs. Ashley Bernard,36-45,Other,North America,Electronics,3120.5,1285.29,19-05-2024,28.28,Cash,Silver,4.9
228,Cody Moore,36-45,Female,Africa,Sports,4814.45,1041.45,24-03-2024,23.63,Digital Wallet,Gold,2
229,Mr. David Gilbert,46-60,Female,Africa,Furniture,3302.62,280.79,29-07-2024,4.54,Bank Transfer,Silver,2.6
230,Brian Mendez,46-60,Other,Europe,Clothing,3874.49,338.4,20-09-2024,22.11,Credit Card,Bronze,1.6
